time_in,time_report,time_kmeans,time_total,nproc,teste_index
40356,327334,28960645,29328335,40,0
141480,276566,277844800,278262846,2,0
27397,289995,29803301,30120693,32,0
92237,283062,184358209,184733508,3,0
13852,272920,19295937,19582709,24,0
69747,254718,67617267,67941732,4,0
15452,280841,23251745,23548038,20,0
46262,236179,45480747,45763188,6,0
18779,276546,28510278,28805603,16,0
34985,204745,34492664,34732394,8,0
24680,157134,23756395,23938209,12,0
28283,186159,28962034,29176476,10,0
671113,307605,559791712,560770430
