time_in,time_report,time_kmeans,time_total,nproc,teste_index
61552,9609,5059596,5130757,1,0
60586,9813,5069485,5139884,1,1
62001,9423,5179007,5250431,1,2
64252,10821,5160491,5235564,1,3
63318,11595,5207493,5282406,1,4
68182,10683,5181773,5260638,1,5
62559,10711,5177591,5250861,1,6
64529,9736,5193011,5267276,1,7
70303,10614,5243583,5324500,1,8
67448,11041,5211939,5290428,1,9
17210,8589,2604860,2630659,2,0
14569,8393,2608661,2631623,2,1
13989,9100,2604453,2627542,2,2
13816,9231,2600633,2623680,2,3
12766,9242,2622552,2644560,2,4
13999,10087,2606658,2630744,2,5
16409,10412,2621447,2648268,2,6
14112,10763,2595301,2620176,2,7
14029,8094,2587596,2609719,2,8
13625,9377,2592075,2615077,2,9
10169,9979,1730551,1750699,3,0
9484,8861,1739840,1758185,3,1
9629,7738,1724813,1742180,3,2
9522,7730,1722154,1739406,3,3
9502,7358,1719239,1736099,3,4
9742,7815,1723474,1741031,3,5
8942,7472,1720510,1736924,3,6
9380,7893,1722055,1739328,3,7
9552,7431,1721333,1738316,3,8
9526,7236,1722596,1739358,3,9
7276,7746,797215,812237,4,0
7287,7075,786320,800682,4,1
7117,8131,785018,800266,4,2
7177,7144,803212,817533,4,3
7269,8052,797841,813162,4,4
7321,7028,817126,831475,4,5
7169,7187,786551,800907,4,6
7187,8126,796485,811798,4,7
7277,7184,786451,800912,4,8
7315,7361,801066,815742,4,9
5305,7271,526584,539160,6,0
5108,7197,528280,540585,6,1
5422,7067,853172,865661,6,2
5017,7171,527883,540071,6,3
5048,7486,530362,542896,6,4
5191,7296,528788,541275,6,5
5776,7258,527742,540776,6,6
5033,7454,540060,552547,6,7
5028,7281,527101,539410,6,8
5087,7301,853445,865833,6,9
4086,7670,400887,412643,8,0
3974,7176,397477,408627,8,1
3939,7277,398326,409542,8,2
3973,7169,396878,408020,8,3
5280,7307,638771,651358,8,4
3880,7112,394078,405070,8,5
4073,8607,413945,426625,8,6
4118,7551,524965,536634,8,7
4012,7212,405445,416669,8,8
4000,7164,393857,405021,8,9
3371,7299,321608,332278,10,0
3530,7377,320563,331470,10,1
3521,7921,406807,418249,10,2
3370,7266,318894,329530,10,3
3674,7357,319188,330219,10,4
3370,7260,325581,336211,10,5
3664,7365,335971,347000,10,6
3540,7513,325639,336692,10,7
3422,7636,415684,426742,10,8
3473,7320,326202,336995,10,9
3145,7696,436848,447689,12,0
3852,7810,357249,368911,12,1
3422,7827,440995,452244,12,2
3026,8046,288540,299612,12,3
3281,7700,377332,388313,12,4
3271,9044,389179,401494,12,5
3087,7564,294686,305337,12,6
3113,7570,308163,318846,12,7
3314,7859,375147,386320,12,8
3365,7729,288781,299875,12,9
2858,8224,281871,292953,16,0
2915,8694,291749,303358,16,1
2558,8260,330861,341679,16,2
2723,8622,289079,300424,16,3
2637,8847,293975,305459,16,4
3410,8831,292814,305055,16,5
3399,10416,303796,317611,16,6
3390,8597,295896,307883,16,7
3394,10378,306822,320594,16,8
2462,8751,289052,300265,16,9
3046,9521,244689,257256,20,0
2823,11116,240956,254895,20,1
2493,9510,281417,293420,20,2
2927,11191,307064,321182,20,3
3116,11139,241022,255277,20,4
3065,12861,242106,258032,20,5
3222,11224,280011,294457,20,6
2784,11245,260312,274341,20,7
3118,14798,250915,268831,20,8
3203,11157,241042,255402,20,9
4024,11743,249186,264953,24,0
3957,11945,216072,231974,24,1
3896,11766,246049,261711,24,2
3968,11730,233777,249475,24,3
6218,14248,247598,268064,24,4
3434,11725,217694,232853,24,5
3348,12994,227366,243708,24,6
3973,11745,243520,259238,24,7
4266,11677,246196,262139,24,8
4065,11856,217840,233761,24,9
39930,13278,317022,370230,32,0
5231,13427,341013,359671,32,1
22411,13226,455956,491593,32,2
23057,14317,309021,346395,32,3
5558,13514,455316,474388,32,4
11270,14019,369427,394716,32,5
5163,13252,404366,422781,32,6
7050,14304,410716,432070,32,7
12962,25243,474394,512599,32,8
25326,13900,510330,549556,32,9
29915,15217,421410,466542,40,0
9401,17255,435640,462296,40,1
14190,16299,600780,631269,40,2
14659,17419,431284,463362,40,3
35766,16119,543151,595036,40,4
35886,19854,500364,556104,40,5
16184,17080,382766,416030,40,6
43274,17333,392039,452646,40,7
17864,19264,438024,475152,40,8
13635,51258,552341,617234,40,9
