nprocs,mean,confidence_interval,speedup,efficiency
1,64473,[62498 - 66448],1.000000,1.000000
2,14452,[13624 - 15280],4.461182,2.230591
3,9544,[9356 - 9732],6.755344,2.251781
4,7239,[7196 - 7282],8.906341,2.226585
6,5201,[5051 - 5351],12.396270,2.066045
8,4133,[3880 - 4386],15.599564,1.949946
10,3493,[3423 - 3563],18.457773,1.845777
12,3287,[3141 - 3433],19.614542,1.634545
16,2974,[2735 - 3213],21.678884,1.354930
20,2979,[2839 - 3119],21.642497,1.082125
24,4114,[3625 - 4603],15.671609,0.652984
32,15795,[8626 - 22964],4.081861,0.127558
40,23077,[15685 - 30469],2.793821,0.069846
