nprocs,time_mean,confidence_interval,speedup,efficiency
1,5168396,[5131587 - 5205205],1.000000,1.000000
2,2604423,[2597342 - 2611504],1.984469,0.992234
3,1724656,[1720838 - 1728474],2.996769,0.998923
4,795728,[789451 - 802005],6.495179,1.623795
6,594341,[509712 - 678970],8.696011,1.449335
8,436462,[386004 - 486920],11.841572,1.480196
10,341613,[318625 - 364601],15.129389,1.512939
12,355692,[319434 - 391950],14.530538,1.210878
16,297591,[289083 - 306099],17.367447,1.085465
20,258953,[244666 - 273240],19.958819,0.997941
24,234529,[226037 - 243021],22.037343,0.918223
32,404756,[361724 - 447788],12.769165,0.399036
40,469779,[423625 - 515933],11.001760,0.275044
