nprocs,time_mean,confidence_interval,speedup,efficiency
1,10404,[9961 - 10847],1.000000,1.000000
2,9328,[8789 - 9867],1.115352,0.557676
3,7951,[7428 - 8474],1.308515,0.436172
4,7503,[7219 - 7787],1.386645,0.346661
6,7278,[7202 - 7354],1.429514,0.238252
8,7424,[7144 - 7704],1.401401,0.175175
10,7431,[7303 - 7559],1.400081,0.140008
12,7884,[7617 - 8151],1.319635,0.109970
16,8962,[8476 - 9448],1.160902,0.072556
20,11376,[10428 - 12324],0.914557,0.045728
24,12142,[11624 - 12660],0.856860,0.035703
32,14848,[12570 - 17126],0.700700,0.021897
40,20709,[14002 - 27416],0.502390,0.012560
