nprocs,mean,confidence_interval,speedup,efficiency
1,5243274,[5204762 - 5281786],1.000000,1.000000
2,2628204,[2620774 - 2635634],1.995003,0.997501
3,1742152,[1737852 - 1746452],3.009654,1.003218
4,810471,[804226 - 816716],6.469416,1.617354
6,606821,[522205 - 691437],8.640561,1.440094
8,448020,[397322 - 498718],11.703214,1.462902
10,352538,[329443 - 375633],14.872933,1.487293
12,366864,[330508 - 403220],14.292146,1.191012
16,309528,[300905 - 318151],16.939579,1.058724
20,273309,[259235 - 287383],19.184418,0.959221
24,250787,[241935 - 259639],20.907280,0.871137
32,435399,[392360 - 478438],12.042458,0.376327
40,513567,[465067 - 562067],10.209523,0.255238
