nprocs,mean,confidence_interval,speedup,efficiency
1,656127,[649745 - 662509],1.000000,1.000000
2,161492,[154776 - 168208],4.062907,2.031454
3,106036,[97541 - 114531],6.187776,2.062592
4,80016,[72375 - 87657],8.199948,2.049987
6,53849,[49419 - 58279],12.184572,2.030762
8,46315,[42403 - 50227],14.166620,1.770827
10,34434,[31072 - 37796],19.054626,1.905463
12,32522,[31045 - 33999],20.174866,1.681239
16,23375,[21516 - 25234],28.069604,1.754350
20,20062,[18889 - 21235],32.704965,1.635248
24,20025,[18445 - 21605],32.765393,1.365225
32,26999,[22691 - 31307],24.301900,0.759434
40,41638,[31429 - 51847],15.757889,0.393947
