nprocs,time_mean,confidence_interval,speedup,efficiency
1,555349502,[554500644 - 556198360],1.000000,1.000000
2,285561084,[283760851 - 287361317],1.944766,0.972383
3,189123895,[188293271 - 189954519],2.936432,0.978811
4,77708054,[76793716 - 78622392],7.146614,1.786654
6,58448467,[50510256 - 66386678],9.501524,1.583587
8,45270417,[44151735 - 46389099],12.267382,1.533423
10,42430359,[41797080 - 43063638],13.088494,1.308849
12,39704962,[35876362 - 43533562],13.986904,1.165575
16,31389655,[29838073 - 32941237],17.692119,1.105757
20,24872297,[23684693 - 26059901],22.328034,1.116402
24,21801992,[20414015 - 23189969],25.472420,1.061351
32,31615502,[30945970 - 32285034],17.565734,0.548929
40,29855614,[29561718 - 30149510],18.601175,0.465029
