nprocs,mean,confidence_interval,speedup,efficiency
1,240339,[236272 - 244406],1.000000,1.000000
2,306159,[268446 - 343872],0.785014,0.392507
3,310384,[291431 - 329337],0.774328,0.258109
4,305797,[286822 - 324772],0.785943,0.196486
6,259723,[244421 - 275025],0.925367,0.154228
8,309723,[287604 - 331842],0.775980,0.096998
10,318873,[290639 - 347107],0.753714,0.075371
12,292118,[262435 - 321801],0.822746,0.068562
16,243552,[237731 - 249373],0.986808,0.061675
20,265956,[259806 - 272106],0.903680,0.045184
24,279916,[275104 - 284728],0.858611,0.035775
32,276886,[270069 - 283703],0.868007,0.027125
40,275695,[270644 - 280746],0.871757,0.021794
