nprocs,mean,confidence_interval,speedup,efficiency
1,556245969,[555394437 - 557097501],1.000000,1.000000
2,286028735,[284200993 - 287856477],1.944721,0.972360
3,189540316,[188701942 - 190378690],2.934711,0.978237
4,78093868,[77177227 - 79010509],7.122787,1.780697
6,58762040,[50822758 - 66701322],9.466077,1.577679
8,45626456,[44505535 - 46747377],12.191303,1.523913
10,42783667,[42130202 - 43437132],13.001363,1.300136
12,40029602,[36199159 - 43860045],13.895866,1.157989
16,31656583,[30102764 - 33210402],17.571257,1.098204
20,25158317,[23968075 - 26348559],22.109824,1.105491
24,22101935,[20712136 - 23491734],25.167297,1.048637
32,31919388,[31247789 - 32590987],17.426586,0.544581
40,30172949,[29879665 - 30466233],18.435254,0.460881
