time_in,time_report,time_kmeans,time_total,nproc,teste_index
15213,612,106151,121976,1,0
21533,599,106700,128832,1,1
14142,665,106325,121132,1,2
14298,589,105788,120675,1,3
14159,593,105653,120405,1,4
14545,605,105855,121005,1,5
14315,620,105589,120524,1,6
14669,625,106176,121470,1,7
14115,626,105556,120297,1,8
15026,594,105857,121477,1,9
2166,726,57646,60538,2,0
1985,746,54488,57219,2,1
2249,661,53643,56553,2,2
2048,667,53673,56388,2,3
1976,694,54694,57364,2,4
1997,662,54067,56726,2,5
1969,775,53940,56684,2,6
1946,657,54809,57412,2,7
2043,647,54180,56870,2,8
1983,692,54391,57066,2,9
1456,668,23573,25697,3,0
1467,689,28902,31058,3,1
1490,663,29555,31708,3,2
1461,697,27275,29433,3,3
1484,684,21254,23422,3,4
1466,710,29722,31898,3,5
1616,736,22380,24732,3,6
1484,657,21775,23916,3,7
1711,737,36665,39113,3,8
1530,675,34759,36964,3,9
1329,692,23899,25920,4,0
1538,717,29851,32106,4,1
1515,742,28057,30314,4,2
1253,738,26454,28445,4,3
1318,743,27791,29852,4,4
1377,972,28992,31341,4,5
1450,752,29681,31883,4,6
1326,666,26814,28806,4,7
1522,720,29224,31466,4,8
1269,751,26994,29014,4,9
1430,751,19641,21822,6,0
1198,710,16386,18294,6,1
1222,673,12495,14390,6,2
1146,724,16290,18160,6,3
1209,690,15625,17524,6,4
1234,715,18153,20102,6,5
1163,699,14549,16411,6,6
1214,687,16163,18064,6,7
1247,719,15899,17865,6,8
1104,677,16019,17800,6,9
1085,864,15128,17077,8,0
1204,808,14207,16219,8,1
1036,823,14522,16381,8,2
1055,780,14491,16326,8,3
1365,859,13954,16178,8,4
1106,829,14923,16858,8,5
1091,779,14390,16260,8,6
962,758,14095,15815,8,7
1326,875,13655,15856,8,8
1245,886,14876,17007,8,9
1319,986,14548,16853,10,0
1153,838,10834,12825,10,1
1205,851,12378,14434,10,2
1051,817,11250,13118,10,3
1078,819,12067,13964,10,4
1370,844,11059,13273,10,5
1219,847,11779,13845,10,6
1147,936,11987,14070,10,7
1428,916,12359,14703,10,8
1266,881,11441,13588,10,9
1464,907,11179,13550,12,0
1314,864,9594,11772,12,1
3386,1269,10486,15141,12,2
1271,830,10075,12176,12,3
1353,811,9570,11734,12,4
1585,848,11250,13683,12,5
1516,844,10173,12533,12,6
1192,847,9723,11762,12,7
1276,834,10011,12121,12,8
1338,880,10571,12789,12,9
1520,1053,10846,13419,16,0
1467,1232,9078,11777,16,1
1284,976,8403,10663,16,2
1296,936,8596,10828,16,3
1398,936,8941,11275,16,4
1307,1397,9650,12354,16,5
1350,999,8742,11091,16,6
1355,1024,9274,11653,16,7
1425,938,8779,11142,16,8
1242,1229,9555,12026,16,9
1267,1019,9007,11293,20,0
1491,1288,8533,11312,20,1
1708,1086,7723,10517,20,2
1779,1438,8564,11781,20,3
1665,1008,7510,10183,20,4
1779,1376,7882,11037,20,5
1563,1503,8508,11574,20,6
1502,992,8283,10777,20,7
1741,1402,11327,14470,20,8
1742,1017,7191,9950,20,9
2447,1087,7124,10658,24,0
2213,1455,7860,11528,24,1
2044,1378,7396,10818,24,2
2249,1065,7071,10385,24,3
2937,1074,7543,11554,24,4
2299,1178,7469,10946,24,5
2251,1079,7277,10607,24,6
2537,1110,6912,10559,24,7
2213,1579,7676,11468,24,8
2496,1124,7654,11274,24,9
5864,1677,19748,27289,32,0
27954,1508,18981,48443,32,1
8618,1741,17278,27637,32,2
9202,1759,17677,28638,32,3
12047,1796,14607,28450,32,4
9776,1838,19762,31376,32,5
13119,1858,21979,36956,32,6
23003,1724,25448,50175,32,7
14775,1741,25352,41868,32,8
6630,1982,60157,68769,32,9
19559,5553,27570,52682,40,0
13998,2346,21570,37914,40,1
19097,8971,60916,88984,40,2
37899,8368,27260,73527,40,3
82986,8303,20021,111310,40,4
28093,15770,37401,81264,40,5
24153,3352,26580,54085,40,6
23246,2568,34066,59880,40,7
28692,2598,30818,62108,40,8
41610,2614,28424,72648,40,9
