nprocs,time_mean,confidence_interval,speedup,efficiency
1,15201,[13803 - 16599],1.000000,1.000000
2,2036,[1976 - 2096],7.466110,3.733055
3,1516,[1465 - 1567],10.027045,3.342348
4,1389,[1323 - 1455],10.943844,2.735961
6,1216,[1163 - 1269],12.500822,2.083470
8,1147,[1066 - 1228],13.252833,1.656604
10,1223,[1147 - 1299],12.429272,1.242927
12,1569,[1167 - 1971],9.688337,0.807361
16,1364,[1310 - 1418],11.144428,0.696527
20,1623,[1521 - 1725],9.365989,0.468299
24,2368,[2214 - 2522],6.419341,0.267473
32,13098,[8652 - 17544],1.160559,0.036267
40,31933,[19647 - 44219],0.476028,0.011901
