nprocs,mean,confidence_interval,speedup,efficiency
1,105965,[105738 - 106192],1.000000,1.000000
2,54553,[53837 - 55269],1.942423,0.971211
3,27586,[24247 - 30925],3.841260,1.280420
4,27775,[26646 - 28904],3.815122,0.953780
6,16122,[14944 - 17300],6.572696,1.095449
8,14424,[14137 - 14711],7.346436,0.918305
10,11970,[11319 - 12621],8.852548,0.885255
12,10263,[9889 - 10637],10.324954,0.860413
16,9186,[8748 - 9624],11.535489,0.720968
20,8452,[7738 - 9166],12.537269,0.626863
24,7398,[7212 - 7584],14.323466,0.596811
32,24098,[15965 - 32231],4.397253,0.137414
40,31462,[24292 - 38632],3.368031,0.084201
