nprocs,mean,confidence_interval,speedup,efficiency
1,612,[598 - 626],1.000000,1.000000
2,692,[666 - 718],0.884393,0.442197
3,691,[674 - 708],0.885673,0.295224
4,749,[698 - 800],0.817089,0.204272
6,704,[690 - 718],0.869318,0.144886
8,826,[799 - 853],0.740920,0.092615
10,873,[839 - 907],0.701031,0.070103
12,893,[810 - 976],0.685330,0.057111
16,1072,[974 - 1170],0.570896,0.035681
20,1212,[1084 - 1340],0.504950,0.025248
24,1212,[1097 - 1327],0.504950,0.021040
32,1762,[1686 - 1838],0.347333,0.010854
40,6044,[3346 - 8742],0.101257,0.002531
