nprocs,time_mean,confidence_interval,speedup,efficiency
1,121779,[120208 - 123350],1.000000,1.000000
2,57282,[56542 - 58022],2.125956,1.062978
3,29794,[26427 - 33161],4.087367,1.362456
4,29914,[28720 - 31108],4.070970,1.017743
6,18043,[16822 - 19264],6.749376,1.124896
8,16397,[16122 - 16672],7.426907,0.928363
10,14067,[13362 - 14772],8.657070,0.865707
12,12726,[12043 - 13409],9.569307,0.797442
16,11622,[11111 - 12133],10.478317,0.654895
20,11289,[10506 - 12072],10.787404,0.539370
24,10979,[10706 - 11252],11.091994,0.462166
32,38960,[30554 - 47366],3.125744,0.097680
40,69440,[56443 - 82437],1.753730,0.043843
