time_in,time_report,time_kmeans,time_total,nproc,teste_index
180261,5637,1441746,1627644,1,0
181304,5407,1438944,1625655,1,1
183341,5486,1450572,1639399,1,2
189467,5528,1450594,1645589,1,3
180250,5387,1444935,1630572,1,4
185591,5405,1448507,1639503,1,5
183742,5503,1444684,1633929,1,6
181266,6049,1489141,1676456,1,7
190910,5699,1476423,1673032,1,8
186457,5705,1477531,1669693,1,9
16222,5503,744328,766053,2,0
16863,5630,742401,764894,2,1
16943,6294,740637,763874,2,2
16342,6053,745109,767504,2,3
16463,5583,741715,763761,2,4
16346,5632,739272,761250,2,5
16497,5620,740033,762150,2,6
16224,5677,741861,763762,2,7
16352,5626,743721,765699,2,8
17047,5692,735189,757928,2,9
11344,5088,274982,291414,3,0
10888,5235,278347,294470,3,1
10989,5149,289711,305849,3,2
10936,5064,279930,295930,3,3
10794,4985,284931,300710,3,4
11234,5658,301078,317970,3,5
10636,5234,296767,312637,3,6
11038,5109,293667,309814,3,7
11351,5396,301841,318588,3,8
12783,5491,303042,321316,3,9
8560,5424,371121,385105,4,0
8649,5069,369601,383319,4,1
8391,5367,368709,382467,4,2
8347,4851,369228,382426,4,3
8469,5135,373874,387478,4,4
8701,5005,370720,384426,4,5
8495,5298,374686,388479,4,6
8620,5316,375613,389549,4,7
8682,5127,378675,392484,4,8
11686,5234,369235,386155,4,9
5934,4909,211215,222058,6,0
6314,7050,224443,237807,6,1
5867,5991,135658,147516,6,2
6776,5093,214971,226840,6,3
6181,5236,217292,228709,6,4
7465,4948,241380,253793,6,5
6052,6821,211615,224488,6,6
6221,5098,215094,226413,6,7
6191,5103,217646,228940,6,8
6061,5434,226256,237751,6,9
4942,5254,189570,199766,8,0
4665,5028,129089,138782,8,1
4845,5059,190776,200680,8,2
4984,5352,192372,202708,8,3
4532,5202,184502,194236,8,4
5789,5236,197182,208207,8,5
4753,5222,189181,199156,8,6
4954,5527,173925,184406,8,7
5264,5254,196132,206650,8,8
4811,5051,185530,195392,8,9
5071,5550,158852,169473,10,0
4462,5434,162203,172099,10,1
4333,5400,155032,164765,10,2
5311,7528,144704,157543,10,3
4254,5191,127889,137334,10,4
5386,5504,146396,157286,10,5
4512,5233,156896,166641,10,6
4611,7577,155582,167770,10,7
4218,5475,156968,166661,10,8
4119,5170,146153,155442,10,9
3713,5199,138503,147415,12,0
3817,5146,105491,114454,12,1
4026,8625,130533,143184,12,2
3693,5213,129392,138298,12,3
4888,5140,132779,142807,12,4
3815,7435,121454,132704,12,5
4812,7465,108765,121042,12,6
4889,5384,130938,141211,12,7
3960,5530,116904,126394,12,8
3861,5093,127435,136389,12,9
3937,6367,102915,113219,16,0
3170,5490,94073,102733,16,1
3200,5382,102794,111376,16,2
3376,6469,98593,108438,16,3
3218,5409,107855,116482,16,4
3709,5425,104323,113457,16,5
4092,8004,105186,117282,16,6
3144,5714,103549,112407,16,7
4203,5764,109533,119500,16,8
3979,5639,111879,121497,16,9
3556,6944,86629,97129,20,0
3495,7056,84141,94692,20,1
3386,7076,85288,95750,20,2
3684,7859,85660,97203,20,3
3450,7013,97321,107784,20,4
3476,7073,83578,94127,20,5
3684,6973,78881,89538,20,6
3482,7017,83873,94372,20,7
3303,9017,91104,103424,20,8
2980,5495,92713,101188,20,9
2784,7232,71505,81521,24,0
4268,7197,72519,83984,24,1
4297,7129,70785,82211,24,2
4698,7180,79216,91094,24,3
7232,7230,80071,94533,24,4
4292,7202,71756,83250,24,5
2875,7205,72634,82714,24,6
4225,7133,70646,82004,24,7
8404,7196,80260,95860,24,8
4266,7323,72869,84458,24,9
6836,8193,140178,155207,32,0
6289,7894,121997,136180,32,1
11664,8955,141179,161798,32,2
34802,7984,147482,190268,32,3
15372,9725,177863,202960,32,4
19262,7882,141275,168419,32,5
16785,7969,158284,183038,32,6
7416,7894,141507,156817,32,7
5479,7848,148383,161710,32,8
7445,7961,168400,183806,32,9
15938,9130,252858,277926,40,0
33495,9001,265283,307779,40,1
15471,8538,170706,194715,40,2
71075,16446,163984,251505,40,3
36649,9108,168366,214123,40,4
52462,8470,142903,203835,40,5
18191,10774,173216,202181,40,6
21005,8380,155913,185298,40,7
18965,8925,203793,231683,40,8
26358,8713,192365,227436,40,9
