nprocs,time_mean,confidence_interval,speedup,efficiency
1,184258,[181914 - 186602],1.000000,1.000000
2,16529,[16340 - 16718],11.147559,5.573779
3,11199,[10826 - 11572],16.453076,5.484359
4,8860,[8241 - 9479],20.796614,5.199153
6,6306,[6010 - 6602],29.219474,4.869912
8,4953,[4734 - 5172],37.201292,4.650162
10,4627,[4340 - 4914],39.822347,3.982235
12,4147,[3835 - 4459],44.431637,3.702636
16,3602,[3339 - 3865],51.154359,3.197147
20,3449,[3324 - 3574],53.423601,2.671180
24,4734,[3640 - 5828],38.922264,1.621761
32,13135,[7524 - 18746],14.028017,0.438376
40,30960,[19639 - 42281],5.951486,0.148787
