nprocs,mean,confidence_interval,speedup,efficiency
1,1456307,[1445302 - 1467312],1.000000,1.000000
2,741426,[739642 - 743210],1.964197,0.982099
3,290429,[283965 - 296893],5.014331,1.671444
4,372146,[370055 - 374237],3.913268,0.978317
6,211557,[194117 - 228997],6.883757,1.147293
8,182825,[170429 - 195221],7.965579,0.995697
10,151067,[144824 - 157310],9.640140,0.964014
12,124219,[117524 - 130914],11.723706,0.976975
16,104070,[100872 - 107268],13.993533,0.874596
20,86918,[83610 - 90226],16.754953,0.837748
24,74226,[71774 - 76678],19.619904,0.817496
32,148654,[138787 - 158521],9.796622,0.306144
40,188938,[163650 - 214226],7.707857,0.192696
