nprocs,mean,confidence_interval,speedup,efficiency
1,1646147,[1634030 - 1658264],1.000000,1.000000
2,763687,[761994 - 765380],2.155526,1.077763
3,306869,[300135 - 313603],5.364331,1.788110
4,386188,[384140 - 388236],4.262553,1.065638
6,223431,[205927 - 240935],7.367586,1.227931
8,192998,[180474 - 205522],8.529347,1.066168
10,161501,[155191 - 167811],10.192798,1.019280
12,134389,[127772 - 141006],12.249120,1.020760
16,113639,[110243 - 117035],14.485758,0.905360
20,97520,[94253 - 100787],16.880096,0.844005
24,86162,[82762 - 89562],19.105255,0.796052
32,170020,[157741 - 182299],9.682079,0.302565
40,229648,[205404 - 253892],7.168131,0.179203
